SAMPLE.309.GA5.60 SAMPLE.311.GA6.60 SAMPLE.313.GA7.60 SAMPLE.315.GA8.60 SAMPLE.317.GP.5.60 SAMPLE.319.GP.6.60 SAMPLE.321.GP.7.60 SAMPLE.323.GP.8.60 SAMPLE.327.GF.II6.60 SAMPLE.329.GF.II.7.60 SAMPLE.331.GF.II.8.60 SAMPLE.405.MA5.60 SAMPLE.407.MA6.60 SAMPLE.409.MA7.60 SAMPLE.411.MA8.60 SAMPLE.413.MP.5.60 SAMPLE.415.MP.6.60 SAMPLE.417.MP.7.60 SAMPLE.419.MP.8.60 SAMPLE.421.MF.II.5.60 SAMPLE.423.MF.II6.60 SAMPLE.425.MF.II.7.60 SAMPLE.427.MF.II.8.60
OTU_55 1 1 2 5 1 1 6 2 20 20 444 1 0 2 3 0 1 1 1 1 2 2 1
OTU_56 5 1 0 3 2 1 8 5 1 8 1 63 27 27 79 59 11 34 13 7 2 15 7
OTU_57 8 0 0 4 0 0 3 3 2 4 2 43 10 16 35 4 13 30 18 9 5 30 11
OTU_58 23 5 7 41 6 0 32 15 10 4 4 63 17 27 46 10 58 50 57 70 17 84 40
OTU_59 14 52 57 245 45 14 192 103 30 53 42 4 1 3 12 4 23 7 9 15 7 11 4
OTU_60 1 2 2 12 2 1 11 9 380 310 607 3 1 4 9 3 1 3 3 4 5 7 1
OTU_61 6 3 5 21 6 5 36 17 3 9 9 21 5 12 19 45 44 45 22 97 34 61 44
OTU_62 22 5 8 31 15 6 28 19 3 3 1 10 4 10 13 17 35 2 20 44 15 93 40
OTU_63 3 5 5 35 10 2 18 12 38 53 56 4 0 3 4 1 1 4 1 11 9 43 9
OTU_64 1 2 2 8 5 1 10 8 226 193 367 6 0 3 2 3 1 6 3 13 3 13 2
OTU_65 1 0 0 3 1 0 3 0 2 3 3 43 11 20 42 12 8 23 11 26 6 17 11
OTU_66 0 1 2 3 1 2 1 6 16 248 86 2 0 1 2 2 0 0 0 4 2 5 0
OTU_67 8 2 8 51 12 2 66 20 3 6 4 5 5 5 13 8 12 15 19 3 4 9 2
OTU_68 1 9 4 8 1 1 6 6 127 229 341 4 0 4 3 0 4 5 3 4 0 6 1
OTU_69 0 84 84 210 17 10 7 19 56 48 66 5 0 2 4 1 2 5 1 0 0 6 0
OTU_70 5 1 1 6 1 2 7 4 1 3 4 9 4 9 13 21 12 16 6 25 9 34 25
OTU_71 7 1 1 6 1 0 12 2 4 4 4 40 15 31 32 71 47 70 45 18 3 30 7
OTU_72 5 7 1 10 1 5 26 15 1 3 1 4 2 3 6 9 47 41 35 61 17 26 2
OTU_73 10 2 1 12 1 0 23 10 4 7 6 45 29 29 52 96 20 38 52 59 20 54 30
OTU_74 18 2 4 22 2 1 18 9 2 3 3 58 13 35 33 37 7 29 18 27 6 23 7
OTU_75 0 1 0 1 1 0 3 2 27 173 145 1 0 0 0 2 1 5 1 0 0 2 1
OTU_76 1 1 0 0 4 1 6 14 3 1 2 3 0 4 2 6 12 9 14 51 39 52 19
OTU_77 2 44 42 179 25 1 0 19 1 15 28 5 0 4 4 1 0 0 1 1 1 1 0
