SAMPLE.309.GA5.60 SAMPLE.311.GA6.60 SAMPLE.313.GA7.60 SAMPLE.315.GA8.60 SAMPLE.317.GP.5.60 SAMPLE.319.GP.6.60 SAMPLE.321.GP.7.60 SAMPLE.323.GP.8.60 SAMPLE.327.GF.II6.60 SAMPLE.329.GF.II.7.60 SAMPLE.331.GF.II.8.60 SAMPLE.405.MA5.60 SAMPLE.407.MA6.60 SAMPLE.409.MA7.60 SAMPLE.411.MA8.60 SAMPLE.413.MP.5.60 SAMPLE.415.MP.6.60 SAMPLE.417.MP.7.60 SAMPLE.419.MP.8.60 SAMPLE.421.MF.II.5.60 SAMPLE.423.MF.II6.60 SAMPLE.425.MF.II.7.60 SAMPLE.427.MF.II.8.60
OTU_227 4 3 3 29 1 5 28 14 42 58 40 1 0 0 0 2 2 1 1 6 1 1 0
OTU_228 0 0 0 0 0 0 1 0 1 1 1 9 5 5 2 1 2 11 4 17 19 14 4
OTU_229 1 2 0 1 0 0 4 3 0 3 1 4 1 2 4 4 14 6 11 33 11 30 10
OTU_230 4 3 10 18 5 2 25 15 21 39 58 1 0 2 5 2 4 1 7 14 4 21 6
OTU_231 5 2 1 5 2 0 18 14 1 2 0 2 0 2 8 2 1 4 7 15 7 12 1
OTU_232 1 0 0 0 0 0 0 0 4 1 3 20 6 3 16 18 16 26 26 8 9 21 7
OTU_233 2 0 0 0 0 0 1 0 0 1 0 10 4 4 7 21 3 10 7 4 1 4 0
OTU_234 0 0 0 2 0 0 0 2 27 58 20 1 0 0 0 1 1 2 1 0 0 0 0
OTU_235 4 6 10 34 5 4 15 11 20 10 15 14 4 7 9 5 5 23 6 29 16 51 18
OTU_236 0 3 1 12 2 1 0 0 37 13 35 1 0 0 0 0 1 1 0 0 1 1 0
OTU_237 2 1 1 7 2 0 4 1 1 2 0 14 3 7 16 25 17 25 23 19 9 12 5
OTU_238 3 1 0 6 1 0 22 5 0 1 1 1 0 0 1 9 14 13 11 3 0 3 1
OTU_239 2 0 0 1 0 1 0 0 2 1 0 28 13 15 36 10 1 9 1 1 0 10 0
OTU_240 15 8 9 28 8 1 11 10 5 3 1 10 2 0 4 7 23 16 18 21 7 24 9
OTU_241 6 0 0 13 1 0 1 0 1 1 1 9 5 3 4 3 8 9 5 5 2 13 5
OTU_242 2 2 1 10 4 0 18 7 1 1 1 3 5 3 5 2 13 14 17 52 12 20 8
OTU_243 2 5 5 26 15 5 40 18 0 2 0 0 0 0 0 2 1 1 1 8 2 5 0
OTU_244 1 0 0 0 0 0 5 2 0 0 0 5 6 6 8 3 3 6 11 13 4 6 1
OTU_245 2 0 1 8 2 0 10 6 1 0 0 4 1 3 4 21 12 12 10 19 4 18 7
OTU_246 0 0 0 0 1 0 3 0 0 1 0 0 0 2 1 0 3 2 1 15 12 12 13
OTU_247 2 1 0 8 1 2 17 12 208 82 310 2 0 3 5 1 0 3 2 2 1 5 1
OTU_248 3 8 3 12 4 1 6 14 1 1 2 1 0 1 1 0 0 2 0 2 1 1 1
OTU_249 14 0 1 0 0 0 3 2 1 0 1 22 9 13 25 12 0 6 0 6 2 14 3
OTU_250 0 1 1 3 5 1 33 9 0 0 1 5 0 3 6 4 6 8 9 25 7 15 9
OTU_251 0 2 2 8 3 0 2 1 62 37 26 2 0 0 0 0 0 0 0 0 0 1 0
OTU_252 0 1 2 3 3 0 5 2 10 30 23 2 0 1 2 1 0 0 1 9 3 19 4
OTU_253 1 0 0 3 0 0 2 1 0 1 0 3 1 4 12 2 1 11 5 11 3 5 1
OTU_254 1 0 2 2 0 0 1 0 0 0 0 1 0 0 3 1 1 1 2 17 9 13 11
OTU_255 2 1 1 4 0 0 2 4 1 0 0 13 4 6 13 2 49 101 30 9 1 24 4
OTU_256 2 4 8 15 1 1 18 10 6 2 2 4 0 0 2 0 10 3 6 2 0 2 1
OTU_257 3 1 0 0 0 0 2 0 0 0 1 8 3 3 8 1 18 7 9 12 10 26 13
OTU_258 19 0 2 15 1 0 4 3 3 4 5 37 18 36 40 9 1 9 11 9 7 9 3
OTU_259 1 0 0 0 0 0 0 0 27 26 70 0 0 2 0 0 1 2 0 0 1 1 0
OTU_260 6 2 1 2 1 0 4 6 0 2 2 12 4 5 7 4 2 3 4 1 0 2 1
OTU_261 17 6 5 26 2 0 3 7 1 3 1 3 0 1 1 6 3 12 2 14 4 2 1
OTU_262 1 0 0 2 0 1 0 1 2 2 1 21 9 21 19 38 5 17 7 3 2 15 9
OTU_263 0 0 0 0 0 0 0 0 0 0 0 2 0 3 0 11 12 22 13 1 0 1 0
OTU_264 11 0 0 1 0 1 2 0 0 3 1 11 3 5 4 8 1 11 6 1 2 4 1
OTU_265 7 2 1 2 1 0 2 0 2 2 4 34 8 25 45 11 8 12 5 21 8 15 5
OTU_266 4 0 2 4 1 1 5 11 1 0 0 7 5 5 6 3 9 4 3 1 2 2 0
OTU_267 0 2 0 6 0 1 2 0 36 76 78 0 1 1 0 1 0 0 0 0 1 3 0
OTU_268 2 2 2 5 1 0 5 0 6 3 4 5 1 1 2 4 2 13 5 6 3 15 5
OTU_269 1 0 2 3 2 2 13 4 1 0 0 5 4 6 11 6 14 38 21 29 8 11 2
OTU_270 4 0 0 0 0 0 1 1 1 3 2 19 8 7 18 6 8 8 5 0 0 1 3
OTU_271 1 0 1 3 0 0 0 0 0 0 1 14 9 9 11 24 1 46 4 3 0 1 2
OTU_272 0 0 0 0 0 0 0 1 30 15 72 1 0 2 0 0 0 0 0 0 0 1 1
OTU_273 1 0 0 3 0 0 1 1 0 0 1 18 2 6 22 47 1 9 0 3 0 5 2
OTU_274 3 6 3 14 1 1 29 10 1 1 2 11 3 6 10 8 14 20 19 42 9 3 5
OTU_275 5 3 2 12 1 1 3 2 0 0 0 3 2 0 11 2 4 3 6 0 8 16 3
OTU_276 1 0 1 1 0 0 0 1 1 0 1 10 3 2 5 1 0 1 1 0 0 1 0
OTU_277 1 0 0 5 1 1 13 9 1 5 0 4 1 3 5 1 12 4 9 17 18 8 5
OTU_278 1 7 6 38 9 1 15 8 0 1 1 0 0 0 0 0 3 0 0 2 1 11 1
OTU_279 19 1 1 3 1 0 1 1 0 1 1 16 4 7 19 13 3 3 7 11 4 15 5
OTU_280 4 1 0 4 0 0 0 0 0 0 0 17 6 9 8 7 2 6 8 2 2 2 2
OTU_281 13 3 1 18 3 4 18 6 3 2 1 28 7 18 13 5 8 2 7 7 4 11 5
OTU_282 3 0 1 0 0 0 1 2 0 0 1 1 2 3 3 1 3 1 1 14 2 5 0
OTU_283 5 1 2 14 1 0 15 7 4 3 1 13 8 4 12 10 9 10 6 12 11 11 9
OTU_284 3 2 2 10 4 3 21 7 0 1 1 0 0 0 1 1 1 2 4 20 5 11 3
OTU_285 8 12 6 38 7 5 15 10 0 1 1 2 1 2 1 2 4 1 0 2 0 4 3
OTU_286 0 0 0 0 0 0 1 1 0 0 0 4 3 4 3 0 0 17 10 10 1 14 6
OTU_287 4 1 1 4 1 3 17 15 2 1 2 2 2 2 2 10 23 18 19 23 4 18 11
OTU_288 10 0 0 0 0 0 0 3 0 0 1 1 1 0 1 12 2 4 6 5 1 3 0
OTU_289 0 2 0 0 0 0 1 3 0 0 2 19 11 14 31 6 7 28 12 1 0 7 3
OTU_290 12 1 1 15 1 0 2 3 1 2 2 33 3 12 24 14 7 12 10 11 5 9 8
OTU_291 0 1 0 2 1 0 4 1 0 2 1 25 13 11 34 37 13 18 9 14 2 20 5
OTU_292 8 0 0 4 0 0 1 2 0 2 0 3 1 0 0 1 4 8 6 10 1 5 4
OTU_293 6 1 3 9 1 0 7 0 0 0 0 1 2 4 2 2 10 19 17 9 6 12 4
OTU_294 2 3 3 10 1 0 5 6 4 1 1 1 1 2 0 5 9 10 4 15 5 32 20
OTU_295 15 0 0 2 0 0 0 0 0 3 1 17 8 6 7 29 2 9 3 2 0 3 4
OTU_296 9 0 0 2 0 0 1 0 0 1 1 23 4 7 18 1 0 1 10 1 0 1 0
OTU_297 0 1 0 1 1 0 0 0 96 51 132 2 0 0 1 0 0 1 0 1 1 0 0
OTU_298 6 0 0 1 1 0 0 1 0 1 1 8 5 5 11 3 0 1 1 3 2 7 9
OTU_299 6 1 0 2 0 0 11 1 2 0 0 6 4 3 5 10 8 15 5 5 2 6 1
OTU_300 1 0 2 5 0 1 4 2 0 0 4 41 14 36 53 15 6 14 15 4 0 16 5
OTU_301 9 4 1 11 2 0 6 3 0 1 5 42 12 16 21 6 13 37 15 19 9 20 12
OTU_302 10 12 4 32 9 5 14 18 48 39 67 2 0 1 2 8 8 7 4 18 2 20 12
OTU_303 5 0 2 2 2 0 3 3 0 1 3 3 0 3 5 7 5 5 3 13 9 16 10
OTU_304 0 0 1 1 0 0 3 0 0 0 1 10 6 4 9 31 14 18 7 0 0 0 1
OTU_305 2 0 0 1 0 0 1 1 0 0 0 15 2 13 17 4 0 3 1 1 0 2 0
OTU_306 1 10 9 19 5 2 22 21 0 1 0 1 0 0 1 0 13 1 9 13 5 15 12
OTU_307 1 1 2 13 3 0 6 11 0 0 1 0 0 4 6 8 8 21 14 15 1 15 7
OTU_308 0 0 0 0 0 0 2 0 7 8 84 1 0 0 1 1 0 0 0 0 0 0 0
OTU_309 8 1 0 1 0 0 0 1 0 1 1 33 6 10 20 0 0 1 1 1 0 0 1
OTU_310 3 10 11 23 9 4 14 17 2 9 4 2 3 1 0 3 12 7 6 9 8 14 6
OTU_311 2 5 5 18 0 3 12 8 1 1 1 2 0 1 0 4 4 4 3 11 1 1 0
OTU_312 0 0 0 1 0 0 0 0 36 24 29 2 0 0 1 0 1 0 0 0 1 2 0
OTU_313 2 1 1 11 2 0 18 7 3 1 0 0 0 0 2 1 3 1 3 22 5 7 0
OTU_314 1 2 3 5 4 4 46 24 2 1 0 1 1 1 0 3 4 3 3 19 3 5 1
OTU_315 3 4 0 9 1 0 15 9 2 0 3 35 22 14 55 15 19 19 12 7 2 43 11
OTU_316 8 4 1 4 4 1 13 0 0 3 1 39 10 19 16 18 10 26 7 14 7 15 4
OTU_317 4 1 0 0 0 0 1 0 0 1 2 15 4 6 3 3 3 38 16 8 3 8 1
OTU_318 0 0 0 1 0 0 1 0 0 2 1 11 4 6 7 3 2 13 4 9 4 5 1
OTU_319 1 4 3 10 0 0 6 7 1 1 0 0 0 1 2 2 6 1 3 39 14 74 25
OTU_320 4 0 0 2 0 0 6 0 0 3 1 12 2 4 3 14 9 50 3 1 2 2 0
OTU_321 1 0 0 0 0 0 0 0 0 24 32 0 0 1 0 0 1 1 0 0 0 0 0
OTU_322 1 1 0 0 1 0 0 1 1 0 0 9 1 6 7 0 11 0 3 1 1 5 0
OTU_323 2 4 2 15 0 2 13 3 3 0 3 4 1 2 6 1 1 0 1 31 10 38 17
OTU_324 1 3 10 10 5 0 15 7 2 1 1 0 1 0 1 0 1 2 0 9 1 3 0
OTU_325 6 0 1 4 0 0 6 6 0 1 2 2 1 3 0 1 20 8 6 32 8 14 4
OTU_326 0 0 0 3 0 1 0 1 32 22 90 2 0 0 0 1 0 0 0 2 0 1 0
OTU_327 1 0 0 2 1 0 1 0 0 1 0 0 1 0 0 0 7 10 7 13 6 15 5
OTU_328 1 4 4 14 9 2 27 19 0 0 0 0 0 1 1 1 7 3 4 10 6 2 3
OTU_329 0 1 0 0 0 0 1 1 0 0 0 4 6 10 12 4 3 13 6 1 2 20 3
OTU_330 1 3 0 4 0 1 8 5 2 0 1 0 1 0 2 0 0 0 1 18 2 24 7
OTU_331 1 4 3 5 0 0 1 0 37 12 47 1 0 0 2 0 1 0 0 0 0 1 1
OTU_332 4 1 0 2 0 0 2 2 1 1 0 11 6 7 13 6 3 11 4 1 0 6 5
OTU_333 0 2 1 8 0 0 0 1 56 14 31 0 0 0 0 1 1 0 0 2 0 1 1
OTU_334 0 0 0 1 0 1 1 1 0 0 1 2 1 2 1 11 6 9 10 1 0 1 0
OTU_335 0 8 11 20 14 5 37 23 20 24 7 2 0 0 3 3 8 3 3 3 0 3 2
OTU_336 2 2 0 9 3 2 13 6 1 4 2 17 2 5 7 13 8 12 10 14 2 7 8
OTU_337 5 6 9 7 4 0 5 3 1 2 0 6 1 6 5 2 1 7 2 12 1 10 5
OTU_338 0 0 0 0 0 0 0 0 0 0 0 6 6 11 7 2 1 2 0 0 5 4 1
OTU_339 16 5 2 22 1 0 5 3 0 1 0 12 4 10 13 17 7 1 4 20 10 29 3
OTU_340 1 2 3 14 7 1 48 7 0 4 2 1 0 2 2 2 5 4 6 19 2 5 1
OTU_341 33 2 0 3 1 1 4 4 2 5 6 36 9 22 30 42 14 34 22 38 13 33 10
OTU_342 9 4 3 18 5 2 22 15 3 2 0 14 8 16 16 24 27 18 28 14 6 28 14
OTU_343 3 0 1 0 0 0 1 1 0 0 0 4 3 1 2 5 0 2 1 0 0 0 0
OTU_344 0 0 1 0 0 0 0 0 28 16 32 0 0 0 0 0 0 1 0 1 0 1 0
OTU_345 0 0 0 0 0 0 1 2 29 33 74 0 0 1 2 0 0 0 2 2 0 6 0
OTU_346 1 2 1 4 0 0 4 4 0 1 0 1 0 1 2 6 8 13 11 4 3 4 5
OTU_347 12 0 1 3 0 0 2 0 3 2 0 33 14 13 21 11 4 11 4 20 4 12 10
OTU_348 2 1 0 0 0 0 0 2 1 0 1 11 2 1 3 0 2 5 3 6 2 6 3
OTU_349 1 0 1 1 0 1 0 0 0 0 1 9 10 6 20 3 1 2 0 1 0 2 0
OTU_350 4 1 1 6 1 0 4 4 0 1 2 0 0 1 0 1 6 6 5 10 4 10 0
OTU_351 15 1 0 0 0 0 0 1 0 0 1 23 4 10 16 22 4 17 2 4 2 4 6
OTU_352 5 0 1 3 3 0 8 10 1 5 1 21 3 13 10 21 18 27 21 32 8 18 18
OTU_353 1 0 0 2 0 0 3 0 0 1 1 0 0 0 0 0 6 20 3 6 5 11 1
OTU_354 0 1 0 1 0 1 6 1 2 0 1 1 1 6 2 6 3 8 5 9 3 6 3
OTU_355 17 7 4 104 11 2 35 25 2 6 6 23 13 15 20 55 40 38 19 29 9 18 6
OTU_356 0 8 18 45 16 8 43 42 0 4 3 3 0 4 1 2 4 2 1 19 1 33 7
OTU_357 1 0 1 0 0 0 1 0 0 0 0 12 3 5 15 0 0 0 0 0 0 0 0
OTU_358 7 3 2 18 0 0 0 0 0 0 2 43 8 11 18 7 3 4 3 2 0 2 2
OTU_359 3 0 0 9 7 5 45 38 0 0 2 0 1 1 1 0 0 2 2 3 0 1 1
OTU_360 0 0 0 0 0 0 0 0 24 81 59 2 0 0 0 0 0 0 0 0 1 3 0
OTU_361 5 0 2 5 1 2 18 3 1 0 0 0 0 2 8 23 18 9 36 6 6 8 16
OTU_362 1 2 3 13 5 4 41 13 1 2 1 4 2 2 3 3 0 1 3 5 0 3 3
OTU_363 0 2 3 8 9 1 8 3 2 0 3 0 0 1 1 0 3 0 0 0 5 7 4
OTU_364 4 2 0 9 2 1 13 7 3 0 1 2 0 1 0 1 25 0 15 14 1 0 0
OTU_365 4 0 0 3 0 0 0 1 2 2 4 20 6 14 17 1 4 0 1 1 1 1 3
OTU_366 0 0 0 0 0 0 0 0 7 27 32 0 0 1 0 0 0 2 0 0 0 0 0
OTU_367 0 0 0 0 0 0 0 0 1 0 0 17 3 7 8 0 0 0 0 0 0 2 1
OTU_368 2 1 1 11 4 1 10 2 0 0 0 6 0 6 5 4 6 15 15 1 1 8 2
OTU_369 0 0 0 0 0 1 1 3 0 2 1 9 7 4 9 8 14 9 10 8 0 12 4
OTU_370 0 2 2 5 1 0 0 2 47 65 53 1 0 1 0 2 2 0 0 0 3 1 0
OTU_371 6 1 1 14 1 0 12 3 0 2 1 10 5 7 15 3 3 7 11 16 5 6 2
OTU_372 3 0 2 3 0 0 9 0 0 0 1 8 3 1 5 24 4 2 4 4 0 5 5
OTU_373 0 3 0 9 1 3 9 2 2 3 2 0 0 0 0 0 1 1 0 4 0 6 1
OTU_374 0 0 0 0 0 0 1 1 0 0 0 4 0 6 1 0 1 0 1 8 3 1 1
OTU_375 0 0 1 0 1 0 0 0 1 0 2 18 12 13 14 2 14 23 12 2 0 10 1
OTU_376 5 2 1 7 0 0 0 0 0 1 0 5 0 2 0 1 0 1 0 0 0 1 1
OTU_377 2 7 3 18 3 1 9 8 0 0 2 0 0 0 0 0 2 1 0 0 0 1 1
OTU_378 0 20 19 22 3 1 5 9 1 0 2 0 0 0 1 0 0 0 0 10 2 20 1
OTU_379 11 0 2 1 0 0 1 0 2 2 0 15 4 11 14 6 7 14 8 16 3 6 4
OTU_380 1 0 0 1 0 0 0 1 0 0 0 2 0 1 1 1 19 14 8 5 0 4 2
OTU_381 1 0 0 4 0 0 11 3 1 3 1 11 2 8 12 8 3 9 7 14 5 8 7
OTU_382 0 0 0 0 1 1 0 0 1 0 0 12 5 6 14 1 2 3 3 0 0 6 2
OTU_383 1 1 1 0 0 1 4 0 0 0 0 0 1 1 1 7 3 3 3 10 5 37 26
OTU_384 3 1 2 5 1 2 15 7 0 0 0 1 0 1 2 5 3 7 4 9 2 8 3
OTU_385 2 0 0 0 0 0 0 0 0 0 0 9 5 7 11 8 0 3 1 0 1 0 0
OTU_386 1 0 1 3 1 0 10 10 0 2 0 0 0 1 0 0 0 1 0 7 7 3 2
OTU_387 3 5 3 10 1 1 8 3 0 0 0 7 2 7 6 3 21 33 6 5 4 7 0
OTU_388 0 0 0 1 0 0 0 0 0 0 0 9 2 10 11 2 1 9 17 8 1 10 8
OTU_389 6 4 4 15 0 0 0 4 1 0 0 8 1 12 11 1 1 1 2 2 1 0 0
OTU_390 4 0 0 5 0 1 7 2 2 1 0 4 1 2 1 4 23 19 16 32 8 15 2
OTU_391 4 0 0 0 0 0 3 1 0 0 0 7 2 11 5 3 2 2 3 8 1 4 1
OTU_392 1 0 0 2 0 0 0 1 1 0 1 0 0 0 1 0 1 2 1 16 2 17 3
OTU_393 2 1 0 2 1 0 6 4 1 0 0 5 6 5 6 17 8 10 13 19 3 15 12
OTU_394 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 3 3 1 6 0 14 6
OTU_395 1 0 0 1 0 0 1 1 0 2 2 12 2 8 14 21 2 7 0 1 0 1 1
OTU_396 2 14 4 30 9 2 29 9 22 22 22 8 1 4 6 1 14 11 6 37 16 21 9
OTU_397 5 0 2 10 1 0 5 6 1 0 1 1 0 1 0 0 22 10 7 27 9 16 10
OTU_398 0 0 0 0 0 0 0 0 0 0 0 2 5 7 10 1 1 0 0 0 1 0 0
OTU_399 1 0 0 2 0 0 0 0 1 0 0 4 2 4 6 6 5 10 6 0 0 3 0
OTU_400 8 0 0 4 0 0 1 0 0 0 0 2 1 1 2 14 5 7 1 1 0 0 1
OTU_401 0 0 0 0 0 0 0 0 0 0 1 0 0 2 3 1 1 17 5 0 0 1 1
OTU_402 2 0 0 1 0 0 1 1 0 0 0 1 1 0 0 4 4 10 3 6 1 4 2
OTU_403 6 2 3 5 1 0 14 9 0 0 1 12 2 2 8 10 16 7 8 0 0 4 1
OTU_404 1 0 1 2 0 0 5 2 1 0 0 1 0 1 2 2 4 4 3 6 2 3 0
OTU_405 0 0 0 1 0 0 0 0 46 13 42 0 0 1 1 0 0 1 1 2 0 10 1
OTU_406 7 2 2 14 4 2 22 8 10 20 25 11 3 7 11 10 17 20 19 18 11 34 31
OTU_407 2 0 0 1 0 0 0 0 1 0 0 10 6 6 7 10 5 20 3 3 3 4 3
OTU_408 2 1 0 1 0 0 0 1 0 0 1 14 4 10 12 14 0 24 1 1 0 6 1
OTU_409 1 0 0 3 0 0 9 5 0 0 0 2 0 2 3 2 1 9 4 7 1 4 1
OTU_410 19 22 24 71 20 5 115 58 205 367 503 76 36 42 84 66 47 54 34 116 38 82 47
OTU_411 0 3 1 6 1 0 3 4 1 2 4 8 9 3 18 20 30 18 35 0 1 0 1
OTU_412 0 1 0 1 0 0 1 0 0 0 0 4 3 0 0 0 0 1 2 11 7 8 3
OTU_413 3 0 0 0 2 0 5 1 1 1 1 7 3 3 6 3 0 3 3 6 1 3 4
OTU_414 1 0 0 1 0 0 0 0 0 1 0 15 7 6 10 2 0 1 0 1 0 1 2
OTU_415 1 0 0 5 1 0 3 0 2 2 0 1 0 0 1 0 0 14 6 6 8 2 4
OTU_416 4 2 1 3 1 0 4 0 1 2 0 14 8 11 14 25 11 23 10 17 3 17 7
OTU_417 0 1 0 2 1 0 1 4 16 12 37 0 0 0 1 1 0 1 0 1 0 4 0
OTU_418 9 3 3 26 0 0 3 2 0 0 0 6 1 2 4 6 0 1 2 4 5 2 1
OTU_419 1 1 0 3 2 1 9 10 1 0 3 8 2 3 8 6 7 17 7 8 0 11 1
OTU_420 4 0 3 2 0 1 3 0 1 0 0 1 1 0 2 1 2 7 3 8 7 5 5
OTU_421 0 0 1 1 0 0 0 1 0 1 0 7 0 4 8 2 17 14 14 34 10 8 4
OTU_422 7 0 0 1 1 0 0 3 1 1 0 12 0 2 7 0 0 1 0 2 0 1 1
OTU_423 1 8 8 25 8 13 16 14 0 12 2 1 1 0 1 1 9 3 0 3 3 6 0
OTU_424 0 0 0 0 0 0 2 1 1 0 0 2 0 2 2 2 8 8 9 65 4 7 0
OTU_425 1 0 1 1 0 0 1 1 0 0 0 4 2 0 2 9 6 6 3 4 2 1 0
OTU_426 0 1 3 3 4 3 29 10 0 4 1 1 2 0 2 1 27 13 13 7 1 2 0
OTU_427 4 3 0 7 2 0 2 1 0 1 1 6 2 1 1 5 1 0 0 0 1 1 4
OTU_428 0 1 2 13 4 4 15 2 1 0 1 2 1 0 3 2 7 1 6 30 3 6 3
OTU_429 2 1 0 2 0 1 0 2 0 0 1 4 0 0 1 4 6 4 4 8 5 7 1
OTU_430 2 6 8 23 12 6 53 34 11 25 35 0 1 5 3 3 28 6 18 10 2 4 1
OTU_431 3 0 0 0 0 0 1 1 0 1 0 22 4 5 16 0 0 0 0 1 0 0 0
OTU_432 2 1 0 6 1 1 15 10 1 0 0 9 3 3 7 12 8 9 10 16 5 18 6
OTU_433 0 0 0 1 0 0 0 1 1 1 0 1 3 0 0 28 0 12 0 1 0 0 1
OTU_434 0 0 1 3 1 1 4 3 0 0 0 2 1 0 3 2 15 8 5 19 5 11 7
OTU_435 0 0 0 1 0 0 0 1 0 0 0 2 0 0 1 0 4 32 3 11 7 3 1
OTU_436 1 0 0 0 0 0 0 1 0 0 0 6 0 3 4 4 0 2 0 0 1 11 1
OTU_437 3 0 1 0 0 0 4 2 0 1 0 2 0 1 7 4 9 4 7 2 0 1 2
OTU_438 1 0 1 7 6 7 29 15 2 2 6 0 0 0 1 0 2 0 0 3 0 3 1
OTU_439 0 0 1 0 0 0 0 2 44 29 77 1 0 2 1 0 0 1 0 2 0 0 2
OTU_440 0 0 1 0 0 0 0 0 0 1 1 9 3 6 8 16 7 9 0 0 0 1 2
OTU_441 0 0 0 0 0 0 1 1 0 1 0 29 7 14 31 20 1 4 1 0 0 4 3
OTU_442 0 0 0 1 0 0 0 0 24 5 49 0 0 1 0 1 0 0 0 0 0 1 0
OTU_443 0 0 0 1 0 0 4 1 0 0 1 0 0 0 0 0 9 5 8 0 0 0 0
OTU_444 2 5 1 8 0 0 12 1 4 7 1 3 1 0 2 7 5 3 9 16 8 11 5
OTU_445 0 0 0 0 0 0 0 1 0 0 2 11 10 7 13 0 3 1 0 0 1 2 0
OTU_446 2 0 0 5 3 1 4 2 0 2 0 3 0 1 3 2 3 2 2 8 1 12 7
OTU_447 0 0 1 0 0 0 1 0 0 1 2 4 1 2 5 3 1 2 1 3 0 0 0
OTU_448 0 2 0 6 3 2 24 7 1 1 0 1 1 0 0 0 2 0 2 1 0 0 0
OTU_449 1 0 1 1 1 0 0 1 2 0 1 5 2 4 8 3 4 1 3 12 2 6 9
OTU_450 0 0 0 0 1 0 2 3 0 1 0 2 0 0 0 0 4 3 2 19 7 1 0
OTU_451 9 1 1 7 0 2 10 4 0 1 0 0 0 0 0 4 2 2 3 0 0 1 0
OTU_452 0 1 0 1 0 0 0 0 1 0 1 5 6 6 14 3 1 1 3 1 0 6 4
OTU_453 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 14 5 10 4 2 2 2 0
OTU_454 2 1 0 5 1 0 8 5 1 0 1 5 1 2 4 14 5 9 8 2 2 1 4
OTU_455 1 1 0 0 0 0 1 1 1 0 0 0 1 0 2 2 1 5 8 12 2 10 9
OTU_456 0 0 1 6 2 4 19 8 0 1 0 1 0 0 0 0 1 2 4 2 1 2 3
OTU_457 1 0 1 1 0 0 2 0 0 1 0 40 13 16 30 3 1 6 3 6 2 6 11
OTU_458 6 0 0 0 0 0 1 0 1 0 0 2 0 2 1 4 0 0 1 4 4 11 4
OTU_459 1 1 0 0 0 0 0 0 2 0 2 3 1 3 1 1 17 26 10 4 2 6 2
OTU_460 0 1 2 8 0 0 15 4 2 2 1 4 0 0 0 1 13 5 5 11 6 5 5
OTU_462 0 0 0 2 0 0 0 2 0 0 0 10 3 6 7 0 12 26 9 10 2 5 1
OTU_463 1 3 7 16 3 2 5 9 0 1 1 1 0 0 0 1 3 1 1 6 0 3 2
OTU_464 0 2 2 4 3 0 14 10 0 0 0 7 1 6 3 0 3 2 3 4 1 4 1
OTU_465 6 0 5 21 3 3 39 12 2 2 7 4 2 0 2 3 4 6 10 10 2 15 8
OTU_466 1 1 5 10 3 1 7 7 24 29 56 2 1 1 1 1 4 0 1 2 1 1 1
OTU_467 1 0 0 1 0 0 0 1 0 1 0 18 9 7 18 25 0 8 3 1 0 3 3
OTU_468 2 2 0 5 1 0 16 5 1 0 3 10 4 5 9 3 8 19 10 20 11 17 4
OTU_469 0 0 1 1 0 2 8 4 0 0 0 3 0 1 2 1 11 7 8 13 8 18 20
OTU_470 17 5 4 20 0 0 5 6 1 6 3 40 13 6 34 9 9 24 13 10 1 56 27
OTU_471 4 2 1 1 1 1 9 4 1 2 3 3 1 2 4 6 12 7 5 25 15 31 12
OTU_472 13 19 16 75 28 12 45 37 67 209 99 4 1 1 3 2 25 3 2 7 2 5 2
OTU_473 4 2 1 12 5 1 28 8 1 1 1 0 0 0 1 1 4 3 3 1 2 2 1
OTU_474 8 1 1 0 0 0 5 2 1 0 0 0 0 1 2 2 2 2 3 5 4 6 13
OTU_475 1 1 0 1 1 0 8 1 0 0 1 3 2 1 3 1 2 1 3 2 2 2 1
OTU_476 2 0 1 1 0 0 1 1 1 0 1 8 3 4 7 9 5 19 4 1 0 0 0
OTU_477 1 0 1 8 2 3 6 3 1 5 1 25 14 12 23 9 6 6 3 6 2 11 2
OTU_478 0 0 1 1 0 0 0 2 1 2 0 1 0 0 0 0 0 0 2 13 6 11 3
OTU_479 8 0 0 6 0 0 6 4 0 2 0 16 7 10 9 2 9 4 5 2 5 1 2
OTU_480 0 1 0 1 0 0 1 0 28 25 20 0 0 0 0 0 0 0 0 0 0 0 0
OTU_481 0 1 1 3 3 0 3 3 1 0 0 1 0 2 0 2 1 0 0 7 0 13 3
OTU_482 0 0 0 2 0 0 0 1 20 38 44 1 0 0 1 0 0 0 0 1 0 2 0
OTU_483 5 1 0 7 3 1 17 14 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
OTU_484 1 2 0 12 3 3 27 14 0 2 0 6 3 3 8 3 3 5 3 11 3 16 7
OTU_485 0 1 0 0 2 0 6 0 1 0 0 2 1 1 4 2 0 2 1 6 2 3 2
OTU_486 0 0 0 1 0 0 0 1 0 0 2 11 5 2 17 1 2 2 6 6 11 2 2
OTU_487 1 2 0 5 0 0 12 3 0 2 0 0 0 0 0 2 0 0 0 0 0 0 2
OTU_488 2 2 0 1 0 2 6 5 0 0 2 6 6 3 2 4 2 6 3 6 8 7 4
OTU_489 9 4 6 21 3 1 14 9 0 0 1 13 3 6 5 14 12 9 4 16 11 7 6
