SAMPLE.745.GA5.60 SAMPLE.747.GA6.60 SAMPLE.749.GA7.60 SAMPLE.751.GA8.60 SAMPLE.753.GP.5.60 SAMPLE.755.GP.6.60 SAMPLE.757.GP.7.60 SAMPLE.759.GP.8.60 SAMPLE.761.GF.II.5.60 SAMPLE.763.GF.II6.60 SAMPLE.765.GF.II.7.60 SAMPLE.841.MA5.60 SAMPLE.843.MA6.60 SAMPLE.845.MA7.60 SAMPLE.847.MA8.60 SAMPLE.849.MP.5.60 SAMPLE.851.MP.6.60 SAMPLE.853.MP.7.60 SAMPLE.855.MP.8.60 SAMPLE.857.MF.II.5.60 SAMPLE.859.MF.II6.60 SAMPLE.861.MF.II.7.60 SAMPLE.863.MF.II.8.60
OTU_55 1 5 0 441 0 0 0 0 1 0 1 0 1 0 1 1 2 2 0 2 0 1 1
OTU_56 5 13 12 7 1 0 1 0 0 0 0 19 11 9 48 3 2 33 21 1 0 1 0
OTU_57 73 2 1 71 0 1 1 0 0 0 1 1 0 1 0 0 0 0 0 1 1 1 1
OTU_58 2 0 0 12 43 0 0 0 0 0 0 2 0 5 1 27 30 43 87 3 17 2 1
OTU_59 8 0 1 0 0 0 0 0 2 0 0 37 10 18 30 0 0 0 5 10 0 1 2
OTU_60 2 1 0 0 2 1 0 0 0 0 0 5 7 323 13 1 0 1 0 2 0 1 1
OTU_61 21 1 0 6 2 0 0 1 0 1 1 24 14 6 29 8 33 28 9 0 1 1 2
OTU_62 2 4 1 8 20 1 29 27 0 0 0 0 0 0 3 1 0 0 22 3 1 2 1
OTU_63 0 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 166 14 35 1 1 0 1
OTU_64 1 0 0 1 0 0 0 0 1 0 2 9 3 6 6 12 29 38 44 3 7 5 2
OTU_65 3 0 0 1 0 0 0 0 0 1 1 23 0 5 6 1 0 1 0 1 0 1 2
OTU_66 2 1 2 12 1 0 1 1 1 1 1 1 0 1 2 87 12 19 4 0 0 0 1
OTU_67 0 0 0 3 0 1 1 1 1 0 1 3 0 0 3 0 1 0 1 22 56 96 4
OTU_68 0 0 0 0 1 0 1 1 0 0 0 0 1 2 2 1 0 1 0 3 7 98 3
OTU_69 0 0 0 1 1 0 2 0 0 1 0 0 1 0 1 0 1 1 0 75 50 0 6
OTU_70 1 0 0 379 0 1 4 0 0 0 1 2 1 4 1 0 1 1 0 1 0 0 0
OTU_71 1 0 0 1 0 1 2 1 0 1 0 16 13 7 19 17 8 17 2 1 0 1 0
OTU_72 0 1 0 3 0 0 2 0 0 0 0 1 0 0 0 0 0 237 0 0 3 1 2
OTU_73 1 0 0 1 1 0 0 2 14 11 8 1 0 0 0 0 0 2 0 0 0 0 0
OTU_74 0 0 0 2 1 0 0 0 1 0 0 29 2 8 20 93 0 0 1 0 0 1 1
OTU_75 13 0 0 1 0 0 0 0 0 2 0 37 1 9 0 8 0 0 0 26 6 0 2
OTU_76 5 5 1 11 0 1 4 0 0 1 1 1 1 5 0 15 42 3 29 0 1 0 0
OTU_77 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 1 0 64 19 16 4
OTU_78 0 0 1 1 0 0 0 1 0 0 1 2 0 0 6 0 1 0 0 33 7 11 28
OTU_79 1 1 0 0 2 0 0 0 0 0 0 26 6 5 28 7 7 16 8 0 0 0 3
OTU_80 5 4 5 8 9 1 1 3 3 8 4 7 0 6 10 3 1 4 5 5 3 9 6
OTU_81 0 0 0 2 0 0 0 0 42 20 27 0 1 0 1 0 0 0 0 1 1 1 0
