SAMPLE.745.GA5.60 SAMPLE.747.GA6.60 SAMPLE.749.GA7.60 SAMPLE.751.GA8.60 SAMPLE.753.GP.5.60 SAMPLE.755.GP.6.60 SAMPLE.757.GP.7.60 SAMPLE.759.GP.8.60 SAMPLE.761.GF.II.5.60 SAMPLE.763.GF.II6.60 SAMPLE.765.GF.II.7.60 SAMPLE.841.MA5.60 SAMPLE.843.MA6.60 SAMPLE.845.MA7.60 SAMPLE.847.MA8.60 SAMPLE.849.MP.5.60 SAMPLE.851.MP.6.60 SAMPLE.853.MP.7.60 SAMPLE.855.MP.8.60 SAMPLE.857.MF.II.5.60 SAMPLE.859.MF.II6.60 SAMPLE.861.MF.II.7.60 SAMPLE.863.MF.II.8.60
OTU_228 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 33 7 3 3
OTU_229 2 7 13 40 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
OTU_230 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 1 6 7 0 0 0 1
OTU_231 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 58 0 0 0 0 1 0
OTU_232 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 14 0 0 1
OTU_233 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 2 2 15 9 14 2
OTU_234 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 87 0 1 0 0 1
OTU_235 4 3 1 1 1 1 0 0 1 0 0 0 0 2 1 1 1 0 4 34 4 0 1
OTU_236 0 0 0 0 0 0 0 0 0 37 2 0 0 0 0 0 0 1 0 0 0 0 0
OTU_237 0 0 0 0 0 0 0 2 0 0 0 1 2 2 13 3 2 22 0 0 1 0 0
OTU_239 0 0 0 2 0 0 0 0 0 0 0 9 6 7 8 4 11 16 24 1 0 0 1
OTU_240 0 0 0 0 1 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_241 0 0 0 1 0 0 0 0 5 0 26 0 0 0 0 0 0 0 0 1 0 0 0
OTU_242 0 0 0 3 8 0 17 6 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0
OTU_243 2 0 0 0 2 0 0 0 0 0 1 0 0 0 1 1 1 0 30 0 0 0 0
OTU_244 1 0 1 0 0 0 0 0 0 1 0 0 0 0 3 1 0 0 0 2 3 16 6
OTU_245 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 73 0 0 0 0 0
OTU_246 1 1 0 4 0 1 1 1 0 1 2 4 0 1 5 3 1 64 2 3 1 2 2
OTU_247 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 64 0 2 2
OTU_249 2 1 4 2 1 0 0 0 0 0 0 4 1 0 0 0 5 0 0 0 0 0 0
OTU_250 30 1 4 2 0 0 0 1 0 0 2 1 5 2 6 3 0 3 2 2 0 0 0
OTU_251 0 0 0 0 1 0 17 0 0 0 0 1 0 1 0 2 1 0 0 0 0 0 0
OTU_252 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 28 0
OTU_253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 1 1 5
OTU_254 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
OTU_255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 9 2 0
OTU_256 0 0 0 0 0 0 7 1 0 0 0 5 3 1 8 0 4 5 5 0 0 3 0
OTU_257 3 0 0 4 0 0 0 0 0 0 1 5 1 15 10 3 1 2 6 1 0 1 0
OTU_258 4 0 0 2 2 1 6 2 0 0 0 16 0 1 1 5 1 4 0 0 2 0 0
OTU_259 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 6 7 5 4
OTU_260 0 0 0 0 1 0 1 1 1 0 0 1 2 0 23 0 0 3 0 0 4 0 1
OTU_261 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 4 21 0 0 0 0 0 0
OTU_262 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 23 0 0
OTU_263 0 2 2 5 14 3 21 13 0 0 1 0 0 0 2 0 1 0 0 0 0 1 0
OTU_264 0 1 0 0 4 4 12 10 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
OTU_266 0 0 0 0 0 0 0 1 0 0 0 0 2 6 9 0 0 0 0 0 0 1 0
OTU_268 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 27 3
OTU_269 0 14 15 19 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
OTU_270 1 0 2 7 6 3 0 4 0 0 0 1 0 0 1 0 0 1 0 7 5 9 1
OTU_271 14 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0
OTU_272 0 0 0 0 0 0 0 0 9 0 5 0 0 1 2 0 0 0 2 1 0 0 0
OTU_273 0 0 0 1 0 1 0 0 0 0 1 0 1 11 0 0 0 0 0 0 0 0 1
OTU_274 0 0 0 0 0 0 0 0 0 0 0 0 1 4 15 0 0 0 1 0 0 0 0
OTU_275 0 0 0 1 0 0 1 0 0 0 0 1 5 12 10 0 2 1 1 0 0 0 1
OTU_276 0 0 0 0 0 0 0 0 0 5 20 1 0 1 0 0 0 1 0 0 0 0 0
OTU_277 0 1 5 6 7 2 29 8 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
OTU_278 7 9 1 9 12 0 3 4 0 0 0 0 0 2 2 0 1 12 0 0 1 4 2
OTU_279 0 0 1 1 1 0 6 0 1 1 0 0 0 0 1 0 14 52 7 0 0 1 0
OTU_281 1 1 0 4 4 0 0 0 0 0 0 0 0 0 0 4 2 1 4 0 0 8 2
OTU_282 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 77 0 1 0 1 1
OTU_283 0 0 0 0 0 0 0 1 0 1 0 2 1 0 9 6 0 2 1 3 5 8 5
OTU_284 0 0 0 1 0 0 1 0 0 0 0 2 4 2 37 0 0 0 0 1 0 0 1
OTU_285 0 0 0 0 1 0 0 0 0 0 0 4 0 1 4 4 3 2 2 0 0 1 1
OTU_286 0 1 0 5 1 0 2 2 0 0 1 0 0 0 0 0 23 0 0 0 0 0 0
OTU_287 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 4 0 5 1
OTU_288 0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 52 0 2 0 0 0
OTU_289 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 5 17 6 2
OTU_290 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 7 8
OTU_291 2 3 0 0 0 0 3 0 0 0 0 0 0 0 0 15 0 5 0 0 0 0 0
OTU_292 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 40 0 0 0 0
OTU_293 0 0 0 0 0 0 1 0 0 0 0 1 2 0 3 3 2 2 0 0 0 0 0
OTU_294 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 52 0
OTU_295 0 1 1 2 12 2 20 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0
OTU_296 0 0 0 0 0 0 0 0 2 1 34 0 0 0 0 1 1 0 0 0 0 0 0
OTU_298 0 0 0 0 0 0 0 0 0 1 0 4 4 4 2 0 0 0 0 0 0 1 0
OTU_299 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 0 0 0 0 1 0
OTU_300 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 20 3 2
OTU_301 0 0 0 6 0 0 0 0 0 1 0 4 4 1 1 1 0 1 0 6 3 1 4
OTU_302 0 0 0 0 1 0 6 0 0 0 1 0 0 1 1 3 0 0 0 1 0 0 0
OTU_303 0 0 0 0 0 0 7 4 0 0 0 1 1 1 0 6 0 0 0 0 0 0 0
OTU_304 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 25 3 5 3
OTU_305 1 0 1 1 0 2 0 0 0 0 0 4 1 1 4 1 4 1 5 0 0 0 0
OTU_306 0 1 0 0 0 1 0 0 0 1 0 2 3 6 4 1 3 2 2 1 0 1 1
OTU_307 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 3 4 8
OTU_308 0 1 0 0 0 0 0 0 0 0 0 0 0 1 4 0 10 0 2 0 0 8 1
OTU_309 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 15 2 3 0 1 1 0 0
OTU_310 1 0 0 1 1 0 0 1 0 0 0 2 0 0 0 1 2 2 24 1 0 1 0
OTU_311 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 19 0 7 1
OTU_312 0 0 0 0 0 0 21 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_313 12 1 2 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
OTU_314 0 0 0 0 0 0 0 0 15 1 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_316 0 0 0 0 0 0 0 0 0 0 0 5 1 4 3 0 0 0 0 1 0 0 0
OTU_317 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 29 0 0 0 0 0
OTU_318 1 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 8 1 4 0 4 0 0
OTU_319 0 0 0 0 0 0 0 0 0 0 0 6 2 1 12 0 1 0 1 0 0 0 0
OTU_320 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 1 0
OTU_321 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_322 0 0 0 0 0 0 0 0 0 1 0 4 6 1 2 0 0 0 0 0 0 1 1
OTU_323 0 1 0 1 0 0 52 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
OTU_325 0 0 0 1 0 1 0 0 0 15 17 0 0 0 0 1 0 0 0 0 0 0 0
OTU_326 0 0 0 0 0 0 0 0 0 0 1 1 3 6 5 0 0 0 0 1 2 0 0
OTU_327 4 1 2 10 0 0 1 0 1 1 0 4 5 4 12 2 6 2 1 4 3 4 1
OTU_328 0 0 1 0 0 0 0 1 0 0 0 0 0 0 9 0 2 0 3 3 2 4 0
OTU_329 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 29 0 3 1
OTU_330 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1 3 4
OTU_331 0 0 0 0 0 0 0 0 5 2 0 0 0 0 1 0 0 0 0 0 0 0 0
OTU_332 1 0 0 0 4 1 11 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_334 0 0 1 0 3 1 0 0 0 0 1 3 1 1 0 17 3 2 0 2 0 0 4
OTU_335 0 0 0 0 0 0 2 5 0 0 0 1 1 1 1 1 2 8 1 1 0 0 0
OTU_336 10 7 12 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
OTU_337 6 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
OTU_338 22 2 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
OTU_339 0 0 0 6 0 0 0 0 0 1 0 2 1 0 0 2 4 2 5 0 0 0 0
OTU_340 0 3 3 2 3 2 2 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
OTU_341 0 0 0 0 1 0 0 1 0 0 0 0 0 2 2 0 0 0 0 4 17 15 3
OTU_342 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 1 0 0 0 1 0 0
OTU_343 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 25 0
OTU_344 0 0 0 0 1 0 0 0 0 0 0 10 4 1 8 16 0 1 3 0 0 0 0
OTU_345 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 5 2 15 7 1 0 0 1
OTU_346 0 2 1 6 11 7 16 14 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0
OTU_347 3 0 2 2 6 0 0 4 0 0 0 0 0 0 3 10 13 5 7 0 1 1 0
OTU_348 0 0 2 54 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1
OTU_349 0 0 0 0 0 1 0 1 0 0 55 0 0 0 0 1 0 1 0 0 0 0 0
OTU_350 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 11 0 0
OTU_351 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0
OTU_352 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 89 0 0 0 0 0 0 0
OTU_353 2 0 0 5 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_354 2 2 0 5 0 0 2 0 0 0 0 3 0 3 1 0 10 1 4 0 0 1 0
OTU_355 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
OTU_356 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 7
OTU_357 0 0 0 0 1 0 0 0 0 0 0 2 0 1 12 0 0 13 0 0 0 0 0
OTU_358 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 7 35 0 0 0 0 1
OTU_359 0 0 0 0 0 0 3 3 0 0 0 2 1 5 4 8 4 10 2 0 2 1 0
OTU_360 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
OTU_361 0 0 0 1 0 0 0 0 0 1 1 3 2 2 4 1 0 0 0 0 0 0 0
OTU_362 4 3 1 1 0 3 0 3 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0
OTU_363 0 0 0 0 2 0 3 0 0 1 1 0 0 0 0 8 0 1 0 0 0 0 0
OTU_364 0 0 0 0 0 0 0 0 0 0 0 2 1 0 2 0 0 2 0 0 1 9 0
OTU_365 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9
OTU_366 4 0 0 0 0 0 0 0 0 0 0 6 1 3 8 6 0 0 3 1 0 0 0
OTU_367 1 0 0 0 1 0 0 0 1 8 19 0 0 0 0 1 1 0 0 0 1 1 0
OTU_369 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 8 2
OTU_370 5 0 0 0 0 0 1 0 0 0 0 7 1 3 12 2 0 6 6 0 1 0 1
OTU_371 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 13 0 0 1 0
OTU_372 2 1 0 4 0 2 7 2 0 0 1 2 2 1 5 1 3 1 0 1 0 0 0
OTU_375 1 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 1 0 7 3 30 10
OTU_376 1 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 6 0 0 0 0
OTU_377 0 1 0 0 0 0 0 0 0 0 0 10 1 1 0 0 0 5 0 0 10 0 0
OTU_378 0 0 0 0 0 0 0 0 0 0 0 1 3 2 2 0 1 21 0 0 0 7 1
OTU_380 0 0 0 29 5 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
OTU_381 9 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
OTU_382 12 6 5 8 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0
OTU_383 0 0 0 0 0 0 0 0 0 0 0 19 0 0 16 0 0 0 0 1 0 0 0
OTU_384 0 0 0 0 0 0 0 0 0 23 0 1 0 0 0 0 0 0 0 0 0 0 0
OTU_385 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 5
OTU_386 17 0 0 1 0 0 0 0 0 0 1 0 0 1 5 10 0 8 3 0 0 0 0
OTU_387 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0
OTU_388 1 5 4 10 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0
OTU_389 0 2 2 3 0 0 17 2 0 0 0 0 0 0 0 10 8 6 8 19 25 13 9
OTU_392 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 20 0
OTU_393 0 0 0 0 0 0 0 0 0 0 0 15 0 1 0 0 0 0 0 0 0 0 0
OTU_394 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 34 0 5 0 0 0 0
OTU_395 0 0 0 0 7 6 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_396 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 1 0 0 0 0 0 4 6
OTU_397 0 4 2 19 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
OTU_398 0 0 0 2 1 0 0 0 0 0 0 4 1 5 0 0 3 1 2 2 0 0 0
OTU_399 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0 0 0 0
OTU_400 0 0 0 1 0 0 0 0 0 0 0 43 2 0 0 0 0 0 0 0 0 0 0
OTU_401 1 2 0 1 0 0 0 0 0 0 0 1 0 1 17 0 0 0 0 0 0 0 0
OTU_402 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 3 0 0 0 0 0 0 0
OTU_403 0 1 3 3 0 0 0 0 0 0 0 0 0 0 0 8 14 7 0 0 0 0 0
OTU_406 1 0 0 0 11 1 5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
OTU_407 0 0 0 0 0 0 0 0 1 2 13 0 0 0 0 0 0 0 0 0 0 0 1
OTU_409 0 0 0 0 0 0 0 0 0 0 0 1 3 2 3 6 0 0 0 0 0 1 0
OTU_410 0 0 0 0 0 0 0 0 0 0 0 0 0 56 0 0 0 0 0 0 0 0 0
OTU_411 0 0 0 1 0 0 0 0 0 0 0 0 2 0 30 0 0 0 0 0 0 0 0
OTU_412 0 0 0 0 0 0 0 0 0 0 0 2 2 3 8 0 3 4 0 0 0 0 0
OTU_413 3 0 3 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 1 0 0 0 0
OTU_414 1 6 8 13 3 0 0 2 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0
OTU_415 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 7
OTU_417 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
OTU_418 0 0 0 0 7 1 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_419 5 3 0 9 1 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0
OTU_420 3 4 2 7 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
OTU_421 0 0 0 0 0 0 0 0 0 0 0 12 1 2 1 0 0 0 0 0 1 0 0
OTU_422 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 1 0 0 0
OTU_423 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 13 1 0
OTU_424 1 0 0 0 0 0 1 0 0 0 0 11 3 0 3 1 0 0 1 0 0 0 0
OTU_425 0 0 0 1 0 0 0 1 0 0 0 2 1 0 1 4 0 1 0 7 3 0 0
OTU_426 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 30 0 0
OTU_427 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11
OTU_428 16 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 2 0
OTU_429 0 2 2 12 0 1 3 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
OTU_430 1 1 1 3 3 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
OTU_431 0 0 1 5 6 1 2 6 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0
OTU_432 0 0 0 0 0 2 0 8 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
OTU_433 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 3 0
OTU_435 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 3 6 0 0 2 0
OTU_436 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 34 6 4 4 0 0 0 0
OTU_437 1 1 1 0 0 0 2 0 1 0 1 0 0 0 0 7 3 7 1 10 5 6 0
OTU_438 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 1 0 0
OTU_439 0 0 0 16 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0
OTU_440 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 27 0 2 0 0 0 0 0
OTU_441 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 24 0
OTU_442 0 0 0 1 0 0 0 0 0 0 1 1 18 0 0 0 0 0 0 0 1 0 1
OTU_443 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 3 0 0 0 0
OTU_444 7 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
OTU_445 0 0 0 0 0 0 0 0 0 0 0 0 18 0 1 0 0 0 0 0 1 0 0
OTU_446 0 0 0 37 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
OTU_447 0 1 1 2 5 1 14 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
OTU_448 0 0 0 0 0 0 0 0 0 19 26 0 0 0 1 0 0 0 0 0 0 0 0
OTU_450 0 3 1 1 0 3 4 3 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0
OTU_451 0 0 1 0 0 0 0 0 0 0 0 2 0 0 6 0 0 1 0 0 1 0 0
OTU_452 0 0 0 0 0 0 0 0 0 0 0 3 3 3 6 0 0 0 0 0 0 0 0
OTU_454 0 0 0 0 0 0 0 0 0 0 0 2 1 3 6 0 1 5 2 1 0 0 0
OTU_455 0 2 2 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_456 0 0 0 0 0 0 0 0 0 0 0 1 1 1 7 0 0 0 0 0 0 0 1
OTU_459 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 6 5 0
OTU_460 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_461 4 0 0 0 0 0 0 0 0 0 0 2 0 0 3 0 1 6 4 1 0 0 0
OTU_462 0 0 1 0 1 0 8 9 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
OTU_463 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
OTU_465 0 7 5 3 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0
OTU_467 3 0 0 0 0 0 0 0 0 1 0 4 2 1 0 0 0 0 0 0 2 0 0
OTU_469 0 0 0 0 0 0 0 0 0 0 0 2 0 2 4 0 0 0 0 0 0 0 0
OTU_470 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0
OTU_471 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 5 4 4
OTU_473 0 0 0 0 0 0 0 1 0 0 0 7 0 1 1 0 1 36 8 1 0 0 0
OTU_474 10 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0
OTU_475 0 0 0 0 0 1 1 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
OTU_476 0 3 5 7 1 2 2 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
OTU_477 2 0 0 0 0 0 0 0 0 0 0 1 0 1 7 0 0 0 0 1 0 3 0
OTU_479 0 0 0 0 0 0 0 0 0 0 0 2 4 3 2 0 1 1 0 0 0 0 0
OTU_480 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0
OTU_481 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 2 4 0
OTU_483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7
OTU_484 3 0 0 0 0 0 0 0 0 0 0 2 2 0 1 1 0 0 1 0 0 0 0
OTU_485 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 4 3 4 0 0 0 0
OTU_486 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 6 10 5 1 0 0 0 0
OTU_487 2 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 1 1 3 0 0 0 0
OTU_488 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 10 0 0
OTU_489 0 0 0 0 0 0 0 0 0 0 0 1 0 0 9 0 0 0 0 3 1 5 0
OTU_490 0 0 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 15 3 3
OTU_491 3 1 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_492 3 0 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
OTU_493 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 2 4 0 0 0 0 0
OTU_495 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_496 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 1 2 1 1 2
OTU_497 1 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
OTU_498 2 0 0 0 0 0 2 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0
OTU_499 0 0 0 0 1 0 0 1 0 0 0 4 0 0 0 0 0 1 0 0 0 1 0
OTU_501 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 8 0 0 1 0 1 1 0
OTU_502 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 6
OTU_503 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 21 1 3 2
OTU_504 0 1 0 0 0 0 0 0 0 0 0 3 4 2 1 1 0 0 0 0 0 0 0
OTU_505 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 4 0 1 1 1 0
OTU_507 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 9 4 0 0
OTU_508 5 0 0 0 0 0 0 0 0 0 0 6 3 3 5 11 0 3 0 0 0 0 0
OTU_510 0 0 0 0 0 0 0 0 0 0 0 1 0 2 4 0 0 0 0 0 0 0 0
OTU_511 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0
OTU_512 0 0 0 0 0 0 0 0 1 11 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_513 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_517 0 0 0 0 0 0 0 0 0 0 0 1 1 2 1 0 0 0 1 0 0 0 0
OTU_518 2 0 0 0 0 0 0 0 0 0 0 0 1 0 4 3 0 2 0 0 0 0 0
OTU_519 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 2 1 0
OTU_520 0 0 0 2 7 2 0 2 0 0 1 1 0 0 0 9 2 0 5 0 0 0 0
OTU_521 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 15 1 0 0
OTU_522 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 6 1
OTU_523 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 6 3
OTU_524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 2 3 5 0 0
OTU_525 1 4 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_526 1 1 6 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
